cluster,key word,response,processed response
0,includ,"I would love if they include more technology and more materials for practice and include the students more, it gives learning enjoyment and it is much more better to understand when you practice.",would love includ technolog materi practic includ student give learn enjoy much better understand practic
0,nook,"The classroom, it would be nice if everybody has it's own specific place in the amphitheater with our own books materials, like a little nook, it would inforce a certain social distancing and give some intimity and confidentiality for the shy student ",classroom would nice everybodi specif place amphitheat book materi like littl nook would inforc certain social distanc give intim confidenti shi student
0,nothingn,Nothing\n,nothingn
0,open,I would open more space for debate. I think that when teachers have the time they get carried away talking and it can get boring and interesting. Debates keep people alert and it open ls great conversation. ,would open space debat think teacher time get carri away talk get bore interest debat keep peopl alert open ls great convers
0,suppos,I would respect the time schedule we are supposed to have ,would respect time schedul suppos
0,NA,To have them ,
0,childish,"I would make them less boring. Sounds childish, but dull lectures don’t motivate learning.",would make less bore sound childish dull lectur don’t motiv learn
0,mark,"How participation is marked when other groups present. Online discussion forums allow each person to properly articulate their thoughts without time constraints or shyness/fear of sharing thoughts aloud. I think this makes for more accurate marking, especially when the tutor is trying to mark a presentation and student participation ",particip mark group present onlin discuss forum allow person properli articul thought without time constraint shynessfear share thought aloud think make accur mark especi tutor tri mark present student particip
0,lab,"In-person labs can be a bit daunting and overcrowded as they were for me last year, and so it’s hard to ask questions and clarify things so I would change it to have smaller labs ",inperson lab bit daunt overcrowd last year it’ hard ask question clarifi thing would chang smaller lab
0,tutorexplor,Extend the class lengths for practical work (ie. labs) to have time for self lead research/discussion with tutor/exploration.,extend class length practic work ie lab time self lead researchdiscuss tutorexplor
0,poor,If you couldn’t attend for some reason the recording quality was often very poor so it might be hard to catch up on what you missed ,couldn’t attend reason record qualiti often poor might hard catch miss
0,bore,Bit boring,bit bore
0,content,Have more useful content in them ,use content
0,10am5pm,Would break some of them up (instead of a 10am-5pm studio split it across 2 days),would break instead 10am5pm studio split across 2 day
0,given,The teachers we are given ,teacher given
0,minor,How tutorials are run but this is a minor comment ,tutori run minor comment
0,activ,"Do more active learning/recall activities, not passive learning like lectures",activ learningrecal activ passiv learn like lectur
0,shift,This period has opened our eyes to the value of technology - I would like to see the shift to online homework and assignments - as it makes submission ans working far easier.,period open eye valu technolog would like see shift onlin homework assign make submiss an work far easier
0,firstyear,I can’t really answer because I only had 3 weeks of first-year university before this happened. ,can’t realli answer 3 week firstyear univers happen
0,25,"If anything, make them smaller as right now tutorials have around 25 people so it is sometimes hard to get your point heard",anyth make smaller right tutori around 25 peopl sometim hard get point heard
0,go,I would make them more structured. E.g at the beginning of the course we define what we are going to learn about and how the lesson is going to look ,would make structur eg begin cours defin go learn lesson go look
0,roll,Perhaps extend their duration as they are only 45 minutes long and it can be hard to get the ball rolling in that time ,perhap extend durat 45 minut long hard get ball roll time
0,professorlecturertutor,Having more interactive sessions rather than just listening to the professor/lecturer/tutor,interact session rather listen professorlecturertutor
0,month,"I’m not sure, I’ve only had a month of my first year uni so I didn’t have much time to get used to them. ",i’m sure i’v month first year uni didn’t much time get use
0,stunt,In my English tutorial our professor will spend some of the time speaking and then just let us have a discussion about the text in our group without any prompts which I find stunting because no one is really sure of where to start and what to say. ,english tutori professor spend time speak let us discuss text group without prompt find stunt one realli sure start say
0,face,"It'd be cool to have the option to do them online for students with disabilities, or mental ill health, so they could still participate. Also more use of online forums, I find it a lot easier to speak up and ask questions online as opposed to face to face. ",itd cool option onlin student disabl mental ill health could still particip also use onlin forum find lot easier speak ask question onlin oppos face face
0,name,I would change the ability for people to turn their cameras off. It’s nicer seeing actual people instead of their names in a black box. ,would chang abil peopl turn camera it’ nicer see actual peopl instead name black box
